user,item,rating,prediction
47501,148,2.0,3.2946467
33762,148,5.0,3.2393715
25638,148,5.0,4.7381806
16506,148,5.0,4.3388214
45750,148,2.0,4.425513
27064,148,5.0,3.8134382
36198,148,5.0,1.8286568
43115,148,2.0,3.1092029
20771,148,4.0,4.7692766
4772,148,5.0,
19059,148,5.0,
32289,148,5.0,5.071998
29297,148,4.0,3.092615
32012,148,3.0,4.6343203
28076,148,5.0,
8933,148,4.0,3.8962758
16585,148,5.0,
30169,148,5.0,4.690974
24627,148,4.0,2.4530072
35792,463,4.0,1.9644583
12000,463,5.0,4.9770803
33689,463,5.0,
39290,463,5.0,3.646497
33785,463,3.0,3.4009376
38646,463,5.0,4.4510274
15511,463,4.0,4.4838157
5727,463,4.0,2.7775717
45742,463,5.0,4.7739005
19141,463,5.0,4.009209
27087,463,3.0,2.154597
36392,463,4.0,
30340,463,5.0,4.128735
47686,463,4.0,4.860338
15796,471,4.0,
46256,471,5.0,3.4241672
25163,471,1.0,0.7096708
47799,496,5.0,
4394,496,5.0,
15995,496,5.0,2.4961956
27777,496,5.0,
10458,496,5.0,2.6411695
5127,496,3.0,4.503877
39020,496,5.0,
33345,496,5.0,4.684925
27262,496,5.0,2.3681555
43263,496,5.0,3.9317837
36827,496,5.0,
7607,833,5.0,4.134876
13880,833,1.0,1.849091
20493,833,4.0,4.5610523
41794,1088,3.0,0.7854512
1009,1088,5.0,2.9654226
41131,1238,1.0,
3034,1238,5.0,1.6400328
3683,1238,3.0,4.904327
24395,1342,4.0,4.19623
32147,1342,5.0,3.9883385
31017,1342,5.0,4.2982473
19519,1342,2.0,2.1988552
6874,1342,5.0,4.34209
23947,1342,5.0,
11621,1342,4.0,3.699283
43426,1342,5.0,2.6761355
6908,1342,4.0,
14787,1342,5.0,3.8602998
1155,1580,4.0,4.4548445
36747,1580,4.0,2.5979393
6877,1580,4.0,4.1389256
34953,1580,3.0,3.1744776
37243,1580,4.0,3.3086135
29925,1580,5.0,
44764,1580,3.0,3.5969892
40664,1580,5.0,4.0739317
15312,1580,3.0,
45144,1580,3.0,4.2359133
24359,1591,3.0,3.1484919
38784,1591,1.0,2.6267993
11014,1829,4.0,1.6000896
30399,1829,3.0,2.5737405
32033,1829,3.0,
38659,1829,1.0,3.1825929
20669,1829,1.0,3.1030014
35462,1959,5.0,2.9832544
13368,2122,1.0,4.576751
14606,2122,3.0,4.064599
2455,2122,5.0,3.9372354
24361,2122,5.0,3.2929983
34520,2122,1.0,3.2185645
7440,2122,5.0,4.546809
36575,2122,1.0,1.4088578
14763,2122,5.0,
34402,2122,4.0,
30818,2122,5.0,3.560608
18610,2122,5.0,4.966946
28666,2122,5.0,3.1780705
27833,2122,5.0,4.990505
9509,2122,3.0,4.3616977
12506,2142,2.0,1.2624273
28330,2142,5.0,
48432,2366,5.0,4.6093726
3676,2366,5.0,3.8499346
11085,2366,4.0,4.42523
32663,2659,1.0,2.726808
39,2659,3.0,2.9625926
13131,2659,5.0,4.7709837
47540,2659,4.0,3.6490483
7148,2866,1.0,1.9660964
31090,2866,4.0,2.4567428
46651,3749,3.0,3.6242423
28962,3794,1.0,4.624201
314,3794,1.0,3.9190717
4752,3794,4.0,2.3369756
41141,3918,5.0,2.8413172
14779,3918,4.0,3.0822656
10409,3918,4.0,3.424828
47995,3918,3.0,2.5424464
6065,3918,3.0,2.4261887
13896,3918,2.0,2.6683826
2669,3918,4.0,2.3010755
47123,3997,1.0,3.8891444
9837,3997,1.0,0.5003405
28510,3997,1.0,2.783759
27293,4101,3.0,3.537116
2020,4101,3.0,4.865535
42745,4101,5.0,
43760,4101,4.0,3.263029
43151,4101,5.0,
18760,4101,5.0,3.7623606
11894,4519,5.0,3.4212244
34718,4519,5.0,3.6716418
12323,4519,3.0,1.9570947
18184,4519,5.0,3.670818
29363,4519,3.0,4.6763225
27516,4519,5.0,4.2479105
41776,4519,3.0,
28303,4519,5.0,3.4709482
38799,4519,5.0,3.7943513
47434,4818,5.0,4.092978
31077,4818,5.0,3.2679055
19735,4818,3.0,3.386489
23567,4900,4.0,
10928,4900,5.0,0.8390151
3023,4900,3.0,3.6606066
17343,4900,4.0,3.3693907
39260,4900,3.0,3.976725
28826,4900,4.0,
11942,5156,5.0,
8431,5156,1.0,3.1310036
47236,5156,5.0,
38778,5156,5.0,4.602277
43109,5518,5.0,3.9631054
34125,5518,3.0,2.8033273
40472,5518,3.0,2.2253184
23772,5518,4.0,4.3013024
45064,5518,2.0,3.397302
3371,5518,5.0,3.8744402
39456,5803,5.0,2.460066
35313,5803,5.0,
20829,5803,5.0,3.4174619
35090,5803,5.0,
18500,6336,5.0,
21857,6336,5.0,
14172,6336,4.0,3.0246
37620,6357,5.0,1.3283966
6086,6357,5.0,
5288,6357,5.0,3.6984372
47916,6357,1.0,4.700914
1195,6357,3.0,2.250003
17297,6397,1.0,2.8088877
22386,6397,3.0,0.7694578
15165,6397,1.0,
10401,6397,4.0,1.3946455
9318,6466,5.0,4.330448
36153,6466,2.0,
11415,6466,5.0,4.3514094
48282,6466,1.0,2.7869728
43236,6466,1.0,4.4243884
786,6466,5.0,4.9748983
41544,6654,5.0,1.7926865
21798,6654,3.0,3.6109185
42539,6654,5.0,
31902,6654,3.0,0.76882625
22052,6654,1.0,4.0936003
12210,6658,1.0,1.9795547
43178,7240,3.0,4.180801
32435,7240,3.0,3.087908
4990,7240,1.0,4.3616176
19683,7253,5.0,1.9628317
47204,7253,4.0,3.4199634
28637,7253,3.0,3.2753332
16555,7253,5.0,3.6853316
805,7253,4.0,3.724078
3291,7253,4.0,3.4538116
20937,7340,5.0,2.0813193
15296,7554,4.0,3.4448462
37351,7554,5.0,4.716678
27166,7554,5.0,4.132272
17152,7554,5.0,5.2302513
12231,7554,5.0,5.014001
46649,7554,5.0,4.274786
38180,7554,5.0,1.6771443
10110,7554,5.0,
26480,7754,4.0,3.5508773
24055,7754,2.0,1.2125902
29174,7833,1.0,
6760,7833,1.0,4.0375147
21972,7833,5.0,2.3137257
24977,7833,1.0,
46033,7880,5.0,4.3506675
16982,7880,4.0,0.6903385
5119,7982,1.0,3.905897
48136,7982,2.0,1.5177442
5841,7982,5.0,4.190301
48321,7982,4.0,
29624,7993,4.0,4.7589254
18149,7993,4.0,0.7641284
18115,7993,4.0,
7525,7993,5.0,4.9034395
11958,7993,5.0,4.2085047
23561,7993,5.0,4.6051135
15938,8086,5.0,3.0035717
42764,8086,5.0,3.441037
11347,8389,5.0,4.904239
283,8389,5.0,3.175828
41414,8389,1.0,4.391329
29234,8389,5.0,1.4409764
45172,8389,5.0,4.1022754
26519,8389,5.0,5.1227164
44347,8592,3.0,3.9459283
11264,8592,2.0,
21800,8592,1.0,3.346648
21976,8592,4.0,
47457,392,5.0,2.2787116
35670,392,1.0,
41869,392,1.0,
111,392,1.0,1.4512057
3723,392,1.0,1.1477906
29610,392,2.0,
19128,392,1.0,3.4552317
8386,392,5.0,3.045318
33829,392,1.0,1.2908084
34442,392,5.0,
9327,540,1.0,2.0332105
38051,623,5.0,2.1667461
21386,623,3.0,4.6209135
2921,623,5.0,4.273659
23074,623,5.0,2.328808
1964,623,4.0,3.2725255
29431,737,5.0,
15696,737,4.0,0.5770734
45318,737,5.0,1.8429115
2866,858,4.0,
10953,858,5.0,3.8556075
43969,858,5.0,5.8334217
1121,858,5.0,4.1926155
13929,858,5.0,4.1484175
8502,858,5.0,
19642,897,1.0,2.1047173
25837,897,2.0,2.9459763
6212,897,5.0,3.5558996
29356,897,4.0,3.3723245
20056,1025,5.0,3.3285022
29237,1025,1.0,3.7701063
19294,1025,2.0,4.6422296
12321,1084,5.0,4.302862
20961,1084,4.0,3.9597917
43811,1084,5.0,4.934302
46250,1084,5.0,
3241,1084,4.0,3.8246121
16256,1084,1.0,3.5461237
15912,1395,2.0,0.5989312
43411,1460,4.0,3.3665905
37766,1460,5.0,4.4947243
44989,1460,4.0,3.9171336
31397,1483,5.0,2.780014
39392,1483,1.0,1.7921479
41805,1483,5.0,4.831593
5728,1483,5.0,4.401239
35843,1483,2.0,4.6497984
10784,1483,5.0,4.436905
27617,1483,5.0,2.412617
9240,1483,5.0,3.5286
30391,1483,5.0,4.8755503
10558,1507,4.0,3.2840865
512,1507,3.0,3.4206133
15143,1507,1.0,3.6814795
33068,1507,2.0,3.2015355
19188,1522,5.0,2.7915287
17993,1522,5.0,3.8658965
42172,1896,5.0,3.1580627
46776,1896,5.0,5.01772
489,1896,5.0,3.6256375
8084,1896,5.0,1.524238
41559,1990,4.0,3.3320618
15002,1990,5.0,
36200,1990,4.0,
4589,1990,3.0,3.1499953
17088,1990,3.0,3.3749614
9347,1990,4.0,3.76892
30772,1990,4.0,
5769,1990,1.0,
47428,1990,5.0,3.8270297
44892,1990,4.0,
47633,1990,4.0,
33981,2235,4.0,3.3139873
15307,2235,5.0,1.9926825
23020,2235,4.0,3.783972
35552,2235,5.0,2.897318
20177,2235,4.0,4.337361
39739,2235,3.0,5.097591
18974,2235,4.0,
39459,2235,4.0,3.2746348
11908,2235,4.0,4.015033
14184,2235,4.0,4.3611536
20319,2235,5.0,4.2007475
41975,2235,4.0,3.3253512
31919,2235,3.0,2.8303494
42398,2235,3.0,4.306221
26251,2387,2.0,2.4825892
46773,2387,5.0,1.2764872
45303,2387,5.0,
10499,2387,4.0,3.776577
924,2563,5.0,2.706863
29370,2563,5.0,3.6766038
3786,2563,5.0,4.0690184
14339,2563,5.0,3.453946
23255,2563,4.0,4.4637666
21076,2563,5.0,5.1158133
16252,2563,5.0,4.2202263
44567,2563,5.0,4.561632
34570,2580,1.0,1.7061303
8713,2580,3.0,
7784,2580,1.0,2.6788735
10559,2580,1.0,4.2788935
11154,2580,1.0,3.2511654
11533,2580,5.0,4.104593
5626,2999,1.0,4.753611
32068,2999,5.0,4.9841003
26065,2999,4.0,3.673391
6950,2999,4.0,4.1347404
35927,3179,5.0,3.2739763
37215,3179,5.0,4.9029746
21165,3179,5.0,3.0374196
48575,3179,5.0,3.9791174
39604,3179,3.0,1.6805186
34258,3179,2.0,2.1630094
7437,3179,5.0,4.1920547
8805,3179,5.0,4.293601
29994,3179,5.0,3.8119502
38982,3179,5.0,3.796666
6545,3179,3.0,
42763,3179,5.0,
40823,3179,5.0,4.533698
41014,3179,5.0,3.506944
38754,3179,5.0,
18234,3226,5.0,0.87781554
6985,3226,4.0,
35261,3226,4.0,3.0569453
17093,3226,1.0,3.0319703
25669,3226,1.0,2.4571776
27216,3226,5.0,4.6765814
8509,3475,5.0,
29384,3475,3.0,1.1107593
13930,3475,2.0,3.7754717
44850,3475,5.0,3.3894272
40584,3475,5.0,
16718,3475,3.0,
29027,3698,5.0,4.4103446
7775,3698,4.0,4.460133
47810,3698,5.0,4.361963
32896,3698,4.0,2.7786548
10867,3698,5.0,3.627954
31325,4158,4.0,2.8137908
30355,4158,5.0,3.9777052
8562,4158,5.0,
44355,4158,5.0,4.2799907
15751,4158,5.0,1.4472787
25112,4158,5.0,3.2054305
22384,4158,5.0,4.397579
40752,4158,5.0,3.219272
27313,4158,1.0,5.444395
47831,4158,5.0,1.3536654
31198,4158,5.0,2.5182612
14993,4158,5.0,4.0705404
40779,4158,5.0,1.205697
29829,4158,4.0,3.4021292
17453,4161,4.0,4.192798
18235,4161,5.0,4.161582
40690,4161,5.0,4.5241632
38525,4161,2.0,4.498423
15614,4190,2.0,4.4095206
14040,4190,4.0,
6,4190,5.0,3.571154
47574,4190,4.0,4.0130987
37890,4190,5.0,4.0310183
32158,4190,5.0,3.324505
26393,4219,5.0,3.700922
17886,4219,5.0,3.0272286
7680,4219,4.0,4.272162
36323,4219,5.0,4.0135255
34633,4219,4.0,4.2754354
32207,4219,3.0,2.5516567
575,4219,5.0,2.8730028
39481,4219,4.0,4.5327306
8981,4219,2.0,3.411765
47227,4219,4.0,2.4088883
12289,4929,5.0,4.013338
24225,5614,1.0,2.4477072
38648,5614,2.0,2.6348608
41688,5614,2.0,2.0175972
17923,5614,3.0,4.52087
15630,5614,2.0,1.5853581
21983,5614,2.0,
30849,5614,5.0,
27127,5614,5.0,4.0355105
5636,5614,2.0,4.3133173
30538,6393,4.0,4.3368125
37021,6393,5.0,3.4660647
23350,6393,5.0,5.353044
8015,6623,5.0,3.0901232
17989,6623,5.0,4.414932
31686,6773,3.0,3.8602934
23295,7168,3.0,4.2682443
264,7168,1.0,
25869,7168,5.0,4.8290873
29305,7417,5.0,4.3702283
1458,7417,5.0,4.375936
28179,7417,2.0,2.38033
33842,8105,1.0,3.5689657
22266,8105,3.0,3.66922
47225,8105,3.0,
32317,8803,5.0,4.26607
41526,8803,5.0,4.0304184
30524,8803,5.0,3.6236644
8742,8803,3.0,3.3730652
43625,8803,3.0,4.234854
36645,8803,3.0,
45833,8803,1.0,0.58052206
16669,8803,4.0,3.6089623
27836,8803,4.0,
40892,8928,5.0,4.282177
2829,8928,5.0,
37839,8928,4.0,2.6595688
19903,8928,4.0,3.6731598
35916,8932,3.0,2.8850682
19467,8932,4.0,3.218259
37499,516,3.0,2.7903733
11627,1139,5.0,0.9409479
19334,1139,4.0,3.612433
16863,1139,4.0,3.7273989
21154,1139,1.0,2.380077
27508,1139,3.0,4.015625
9716,1143,5.0,2.2345912
2629,1143,4.0,1.5974168
32909,1143,5.0,4.9258795
18316,1143,4.0,4.3090568
45778,1143,3.0,3.2517142
2082,1303,4.0,
21249,1303,2.0,1.8758729
29706,1303,4.0,4.110392
13238,1303,5.0,4.416215
9619,1303,5.0,4.58572
29205,1303,4.0,4.2568564
6470,1303,4.0,3.1667821
20676,1303,2.0,
43637,1303,5.0,3.8912768
30505,1303,1.0,
46896,1303,5.0,2.9152715
39425,1303,5.0,
14728,1303,3.0,
41965,1322,2.0,3.2392232
35723,1322,2.0,2.1497495
30785,1339,1.0,
1991,1339,2.0,3.4644046
23721,1339,5.0,4.0323014
22106,1352,5.0,4.692019
24773,1352,3.0,4.898146
35585,1352,4.0,3.7608747
8412,1618,5.0,2.6047995
17506,1618,1.0,4.146165
46973,1618,5.0,5.528646
20715,1618,5.0,5.2667027
42044,1650,4.0,3.2512493
8909,1650,3.0,2.0045104
5075,1650,3.0,2.916524
27121,1650,4.0,2.8403368
5800,1699,5.0,5.3164487
46397,1699,5.0,5.2628465
46910,1903,2.0,0.9234079
11247,1903,5.0,3.393095
6621,1903,5.0,2.8699894
35543,2393,4.0,4.015151
31104,2393,5.0,2.8293686
43997,2572,2.0,3.6995132
21620,2572,3.0,3.2340808
8474,2572,2.0,2.0264964
3074,2572,5.0,3.755819
39159,2572,4.0,3.027983
36072,2572,4.0,2.5134482
30062,2572,4.0,2.9231873
39334,2711,4.0,3.480514
35807,2711,5.0,4.814298
22480,2711,5.0,4.718951
39746,2711,2.0,4.2281923
2285,2711,4.0,3.6909459
40639,2776,4.0,
11844,2776,1.0,
1408,2776,2.0,0.65715384
3248,2776,3.0,
22111,2821,2.0,3.1295385
16009,2821,2.0,
18066,2821,5.0,4.5872774
19984,2996,5.0,3.8905475
48451,2996,4.0,0.815677
42243,2996,5.0,4.9691057
48268,2996,3.0,
1337,2996,1.0,
32476,3000,5.0,2.9657707
29646,3213,3.0,0.658743
3973,3213,3.0,1.8692977
1859,3213,1.0,
3043,3352,2.0,4.5727158
20336,3352,4.0,2.684349
1619,3352,5.0,3.951388
